ID;Title;DefectedPercent
1;Три слоя;0
2;Два слоя;0
3;Два слоя;0
4;Детская;0
5;Два слоя;0
6;Супер мягкая;0
7;Один слой;0
8;Один слой;0
9;Детская;0
10;Один слой;0
11;Супер мягкая;0
12;Детская;0
13;Один слой;0
14;Детская;0
15;Детская;0
16;Детская;0
17;Два слоя;0
18;Один слой;0
19;Супер мягкая;0
20;Один слой;0
21;Супер мягкая;0
22;Один слой;0
23;Два слоя;0
24;Два слоя;0
25;Супер мягкая;0
26;Три слоя;0
27;Два слоя;0
28;Супер мягкая;0
29;Детская;0
30;Супер мягкая;0
31;Два слоя;0
32;Два слоя;0
33;Детская;0
34;Два слоя;0
35;Один слой;0
36;Детская;0
37;Супер мягкая;0
38;Супер мягкая;0
39;Детская;0
40;Два слоя;0
41;Три слоя;0
42;Один слой;0
43;Супер мягкая;0
44;Один слой;0
45;Один слой;0
46;Два слоя;0
47;Один слой;0
48;Один слой;0
49;Один слой;0
50;Супер мягкая;0
51;Два слоя;0
52;Три слоя;0
53;Один слой;0
54;Два слоя;0
55;Три слоя;0
56;Детская;0
57;Один слой;0
58;Один слой;0
59;Супер мягкая;0
60;Детская;0
61;Один слой;0
62;Три слоя;0
63;Три слоя;0
64;Два слоя;0
65;Два слоя;0
66;Два слоя;0
67;Один слой;0
68;Детская;0
69;Три слоя;0
70;Один слой;0
71;Два слоя;0
72;Супер мягкая;0
73;Супер мягкая;0
74;Два слоя;0
75;Два слоя;0
76;Три слоя;0
77;Один слой;0
78;Супер мягкая;0
79;Три слоя;0
80;Один слой;0
81;Детская;0
82;Три слоя;0
83;Два слоя;0
84;Три слоя;0
85;Супер мягкая;0
86;Детская;0
87;Два слоя;0
88;Три слоя;0
89;Два слоя;0
90;Супер мягкая;0
91;Один слой;0
92;Три слоя;0
93;Супер мягкая;0
94;Детская;0
95;Три слоя;0
96;Детская;0
97;Детская;0
98;Один слой;0
99;Детская;0
100;Три слоя;0
